City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
70,Lisieux,FR,2020-06-18 19:58:13,49.17,0.17,62.6,93,100,9.17
71,Mar Del Plata,AR,2020-06-18 19:58:13,-38.0,-57.56,59.0,82,75,10.29
72,Karpathos,GR,2020-06-18 19:50:54,35.51,27.21,71.6,83,0,18.34
73,Saint Anthony,US,2020-06-18 19:55:35,45.02,-93.22,84.0,57,1,14.99
74,Clyde River,CA,2020-06-18 19:48:33,70.47,-68.59,33.8,88,90,10.29
75,Butaritari,KI,2020-06-18 19:46:02,3.07,172.79,83.07,63,100,6.06
76,Solnechnyy,RU,2020-06-18 19:58:14,50.72,136.63,43.77,93,100,6.29
77,Sitka,US,2020-06-18 19:58:14,57.05,-135.33,53.6,93,90,9.17
78,Port-Cartier,CA,2020-06-18 19:58:14,50.03,-66.87,82.4,39,75,5.82
79,Aklavik,CA,2020-06-18 19:51:44,68.22,-135.01,59.0,67,75,5.82
80,Tadine,NC,2020-06-18 19:58:15,-21.55,167.88,71.35,82,70,13.62
81,Inhambane,MZ,2020-06-18 19:51:48,-23.86,35.38,67.24,81,1,10.85
82,Tuktoyaktuk,CA,2020-06-18 19:50:21,69.45,-133.04,44.6,93,90,10.29
83,Takoradi,GH,2020-06-18 19:58:16,4.88,-1.76,77.43,87,100,8.28
84,Hofn,IS,2020-06-18 19:50:15,64.25,-15.21,49.01,84,0,3.33
85,Whitehorse,CA,2020-06-18 19:57:27,60.72,-135.05,59.0,51,75,11.41
86,Mwinilunga,ZM,2020-06-18 19:58:17,-11.74,24.43,53.98,60,0,4.74
87,San Cristobal,VE,2020-06-18 19:50:07,7.77,-72.22,84.2,70,75,12.75
88,Ankpa,NG,2020-06-18 19:58:17,7.37,7.63,72.99,95,99,3.53
89,Hasaki,JP,2020-06-18 19:50:00,35.73,140.83,64.0,100,75,3.36
90,Quatre Cocos,MU,2020-06-18 19:50:48,-20.21,57.76,71.6,68,75,10.29
91,Nantucket,US,2020-06-18 19:58:18,41.28,-70.1,71.01,93,90,8.05
92,Airai,TL,2020-06-18 19:50:04,-8.93,125.41,58.78,100,82,4.23
93,Hoa Binh,VN,2020-06-18 19:58:19,20.81,105.34,82.4,83,0,5.82
94,Kodiak,US,2020-06-18 19:46:08,57.79,-152.41,50.0,87,90,10.29
95,San Joaquin,VE,2020-06-18 19:58:19,10.26,-67.79,80.26,75,80,6.98
96,Safford,US,2020-06-18 19:58:19,32.83,-109.71,93.2,7,1,4.7
97,Ponta Do Sol,PT,2020-06-18 19:49:11,32.67,-17.1,71.6,68,20,10.29
98,Vangaindrano,MG,2020-06-18 19:58:20,-23.35,47.6,66.2,88,90,6.29
99,Hobyo,SO,2020-06-18 19:50:05,5.35,48.53,79.5,74,75,27.54
100,Barrow,US,2020-06-18 19:57:30,71.29,-156.79,46.4,65,1,8.05
101,Saskylakh,RU,2020-06-18 19:50:24,71.92,114.08,64.53,60,3,6.73
102,Kermanshah,IR,2020-06-18 19:58:21,34.31,47.06,77.0,13,0,11.41
103,La Libertad,EC,2020-06-18 19:58:21,-2.23,-80.9,78.8,78,75,11.41
104,Esperance,AU,2020-06-18 19:50:03,-33.87,121.9,46.4,93,40,11.41
105,Talas,TR,2020-06-18 19:58:21,38.69,35.55,59.0,82,75,8.05
106,Yellowknife,CA,2020-06-18 19:50:02,62.46,-114.35,64.0,62,20,16.11
107,Del Rio,US,2020-06-18 19:58:22,29.36,-100.9,91.4,52,20,12.75
108,Baoqing,CN,2020-06-18 19:58:22,46.33,132.21,46.8,96,0,5.23
109,Mollendo,PE,2020-06-18 19:58:22,-17.02,-72.01,63.23,78,100,4.5
110,Naraini,IN,2020-06-18 19:58:22,25.18,80.48,88.48,56,99,16.08
111,Georgetown,MY,2020-06-18 19:57:26,5.41,100.34,84.2,79,20,3.36
112,Leningradskiy,RU,2020-06-18 19:50:37,69.38,178.42,43.63,62,94,6.4
113,Lakatoro,VU,2020-06-18 19:58:23,-16.1,167.42,77.0,78,75,6.93
114,Hastings,GB,2020-06-18 19:58:23,50.86,0.57,63.0,85,0,3.0
115,Cabo San Lucas,MX,2020-06-18 19:45:56,22.89,-109.91,93.2,40,20,8.05
116,East London,ZA,2020-06-18 19:55:23,-33.02,27.91,63.99,62,0,14.12
117,Mataura,NZ,2020-06-18 19:50:11,-46.19,168.86,39.0,83,0,3.0
118,Alice Springs,AU,2020-06-18 19:55:55,-23.7,133.88,52.0,49,0,4.7
119,Loandjili,CG,2020-06-18 19:58:24,-4.76,11.86,75.2,88,20,3.36
120,Qaanaaq,GL,2020-06-18 19:49:59,77.48,-69.36,35.26,85,0,1.52
121,Oussouye,SN,2020-06-18 19:50:47,12.48,-16.55,89.6,83,27,11.41
122,Issenye,TZ,2020-06-18 19:58:25,-2.0,34.33,67.68,68,49,2.98
123,Kapaa,US,2020-06-18 19:49:55,22.08,-159.32,75.99,100,90,20.8
124,Talnakh,RU,2020-06-18 19:51:07,69.49,88.4,42.8,75,84,13.42
125,Karaman,TR,2020-06-18 19:58:25,37.08,33.25,60.15,65,66,6.22
126,Non Sang,TH,2020-06-18 19:58:25,16.87,102.57,78.8,88,75,3.36
127,Mount Gambier,AU,2020-06-18 19:50:10,-37.83,140.77,51.8,71,84,17.22
128,Kirkwall,GB,2020-06-18 19:55:39,58.98,-2.96,53.6,93,100,10.29
129,Auch,FR,2020-06-18 19:58:26,43.65,0.58,66.0,67,5,4.52
130,Chenzhou,CN,2020-06-18 19:58:26,25.8,113.03,76.41,86,100,3.98
131,Oda,JP,2020-06-18 19:50:27,35.18,132.5,66.2,90,97,6.87
132,Aitape,PG,2020-06-18 19:51:15,-3.14,142.35,78.1,82,0,3.98
133,Codrington,AU,2020-06-18 19:50:27,-38.27,141.97,51.82,74,100,16.91
134,Cuiluan,CN,2020-06-18 19:58:27,47.72,128.65,49.03,91,96,2.06
135,Praia Da Vitoria,PT,2020-06-18 19:50:23,38.73,-27.07,71.6,64,20,6.11
136,Ancud,CL,2020-06-18 19:50:36,-41.87,-73.82,51.8,87,75,17.22
137,Paamiut,GL,2020-06-18 19:56:27,61.99,-49.67,38.97,84,83,13.56
138,Krasnoselkup,RU,2020-06-18 19:51:00,65.7,82.47,43.36,61,100,16.31
139,Malabo,GQ,2020-06-18 19:58:28,3.75,8.78,77.0,88,75,3.36
140,Avera,US,2020-06-18 19:50:22,33.19,-82.53,84.2,51,90,6.93
141,Srednekolymsk,RU,2020-06-18 19:51:17,67.45,153.68,80.08,24,25,1.32
142,Oskarshamn,SE,2020-06-18 19:58:29,57.26,16.45,59.0,81,0,8.84
143,Grand Gaube,MU,2020-06-18 19:58:29,-20.01,57.66,69.01,78,98,7.0
144,Sao Joao Da Barra,BR,2020-06-18 19:56:00,-21.64,-41.05,77.0,61,44,13.87
145,Yeppoon,AU,2020-06-18 19:58:29,-23.13,150.73,62.6,82,34,8.05
146,Provideniya,RU,2020-06-18 19:49:58,64.38,-173.3,57.2,62,0,4.47
147,Geraldton,AU,2020-06-18 19:45:55,-28.77,114.6,51.8,81,0,5.82
148,Divnogorsk,RU,2020-06-18 19:58:30,55.96,92.36,59.0,93,40,13.42
149,Bambous Virieux,MU,2020-06-18 19:57:50,-20.34,57.76,71.6,68,75,10.29
150,Sao Jose Da Coroa Grande,BR,2020-06-18 19:58:30,-8.9,-35.15,78.13,80,14,10.69
151,Angoche,MZ,2020-06-18 19:58:31,-16.23,39.91,71.44,84,0,9.19
152,Oktyabrskiy,RU,2020-06-18 19:58:31,54.48,53.47,48.16,81,0,5.61
153,Viedma,AR,2020-06-18 19:57:56,-40.81,-63.0,58.84,38,100,14.94
154,Touros,BR,2020-06-18 19:58:31,-5.2,-35.46,75.2,94,90,9.17
155,Thinadhoo,MV,2020-06-18 19:50:01,0.53,72.93,84.04,73,90,3.8
156,Ryazanovskiy,RU,2020-06-18 19:58:32,55.55,39.43,65.37,96,11,5.59
157,Acarau,BR,2020-06-18 19:58:32,-2.89,-40.12,81.75,76,45,11.83
158,Nikolskoye,RU,2020-06-18 19:45:58,59.7,30.79,68.0,72,75,4.47
159,Norman Wells,CA,2020-06-18 19:58:32,65.28,-126.83,73.4,40,75,9.17
160,Tondano,ID,2020-06-18 19:58:33,1.3,124.91,75.2,94,40,2.24
161,Port Elizabeth,ZA,2020-06-18 19:49:58,-33.92,25.57,57.2,82,0,6.93
162,Lata,PT,2020-06-18 19:58:33,40.16,-8.33,64.0,68,0,8.01
163,Okhotsk,RU,2020-06-18 19:51:03,59.38,143.3,45.59,91,98,4.68
164,Shimoda,JP,2020-06-18 19:58:33,34.67,138.95,59.0,94,100,16.2
165,Alofi,NU,2020-06-18 19:51:05,-19.06,-169.92,73.4,73,49,17.22
