City_ID,City,Country,Lat,Lng,Current Description,Rain (inches),Snow (inches),Max Temp,Humidity,Cloudiness,Wind Speed
67,Ushuaia,AR,-54.8,-68.3,drizzle,0.0,0.0,37.4,86,75,2.64
68,Castro,BR,-24.79,-50.01,clear sky,0.0,0.0,66.24,77,3,5.46
69,Dhidhdhoo,MV,6.88,73.1,few clouds,0.0,0.0,83.93,80,23,11.92
70,Bluff,NZ,-46.6,168.33,overcast clouds,0.0,0.0,39.0,83,100,3.0
71,Punta Arenas,CL,-53.15,-70.92,broken clouds,0.0,0.0,35.6,93,75,5.82
72,Port Macquarie,AU,-31.43,152.92,broken clouds,0.0,0.0,46.99,98,60,5.95
73,Saint-Philippe,RE,-21.36,55.77,overcast clouds,0.0,0.0,69.8,73,100,21.92
74,Lodingen,NO,68.41,16.0,scattered clouds,0.0,0.0,51.01,71,29,18.34
75,Biak,ID,-0.91,122.88,few clouds,0.0,0.0,76.84,82,14,6.69
76,Korla,CN,41.76,86.15,clear sky,0.0,0.0,70.25,44,10,14.92
77,Albany,US,42.6,-73.97,scattered clouds,0.0,0.0,89.01,46,47,4.59
78,Faridkot,IN,30.67,74.75,clear sky,0.0,0.0,97.2,16,0,3.83
79,Lubao,PH,14.92,120.55,broken clouds,0.0,0.0,75.2,94,75,4.7
80,Porto Murtinho,BR,-21.7,-57.88,clear sky,0.0,0.0,90.05,38,0,10.65
81,Balabac,PH,7.99,117.06,overcast clouds,0.0,0.0,82.2,74,87,3.76
82,Superior,US,46.72,-92.1,scattered clouds,0.0,0.0,75.99,44,40,10.29
83,Kysyl-Syr,RU,63.9,122.76,overcast clouds,0.0,0.0,60.4,71,87,4.68
84,Kaitangata,NZ,-46.28,169.85,overcast clouds,0.0,0.0,42.01,80,97,7.0
85,Manga,BF,11.66,-1.07,broken clouds,0.0,0.0,80.94,57,80,3.8
86,Airai,TL,-8.93,125.41,broken clouds,0.0,0.0,58.46,100,81,4.12
